Index,Actual Name (Hindi),Actual Name (English),Short Name (Hindi),Short Name (English)
311,सर्वधर्मान्परित्यज्य मामेकं शरणं व्रज। अहं त्वां सर्वपापेभ्यो मोक्षयिष्यामि मा शुचः॥,Sarvadharmanparityajya Mamekam Sharanam Vraja. Aham Tvam Sarvapapebhyo Mokshayishyami Ma Shuchah.,सर्वधर्मान्परित्यज्य,Sarvadharmanparityajya
312,हे कृष्ण करुणा सिन्धु दीन बन्धु जगत पते। गोपेश गोपिका कान्त राधा कान्त नमोस्तुते॥,He Krishna Karuna Sindhu Deen Bandhu Jagat Pate. Gopesha Gopika Kanta Radha Kanta Namostute.,हे कृष्ण करुणा सिन्धु,He Krishna Karuna Sindhu
332,सर्वमंगल मांगल्ये शिवे सर्वार्थ साधिके। शरण्ये त्र्यम्बके गौरी नारायणि नमोऽस्तुते॥,Sarvamangala Mangalye Shive Sarvartha Sadhike. Sharanye Tryambake Gauri Narayani Namostute.,सर्वमंगल मांगल्ये,Sarvamangala Mangalye
334,या देवी सर्वभूतेषु शक्ति-रूपेण संस्थिता। नमस्तस्यै नमस्तस्यै नमस्तस्यै नमो नमः॥,Ya Devi Sarvabhuteshu Shakti-Rupena Samsthita. Namastasyai Namastasyai Namastasyai Namo Namah.,या देवी सर्वभूतेषु,Ya Devi Sarvabhuteshu
336,शरणागत दीनार्त परित्राण परायणे। सर्वस्यार्तिहरे देवि नारायणि नमोऽस्तुते॥,Sharanagata Deenarta Paritrana Parayane. Sarvasyartihare Devi Narayani Namostute.,शरणागत दीनार्त,Sharanagata Deenarta
337,ॐ जयन्ती मङ्गला काली भद्रकाली कपालिनी। दुर्गा क्षमा शिवा धात्री स्वाहा स्वधा नमोऽस्तुते॥,Om Jayanti Mangala Kali Bhadrakali Kapalini. Durga Kshama Shiva Dhatri Swaha Swadha Namostute.,जयन्ती मङ्गला काली,Jayanti Mangala Kali
338,सृष्टिस्थितिविनाशानां शक्तिभूते सनातनि। गुणाश्रये गुणमये नारायणि नमोऽस्तुते॥,Srishtisthitivinashanam Shaktibhute Sanatani. Gunashraye Gunamaye Narayani Namostute.,सृष्टिस्थितिविनाशानां,Srishtisthitivinashanam
365,सर्वमङ्गलमाङ्गल्ये शिवे सर्वार्थसाधिके। शरण्ये त्र्यम्बके गौरि नारायणि नमोऽस्तु ते॥,Sarvamangalamangalye Shive Sarvarthasadhike. Sharanye Tryambake Gauri Narayani Namostu Te.,सर्वमंगल मांगल्ये,Sarvamangala Mangalye
366,या देवी सर्वभूतेषु शक्तिरूपेण संस्थिता। नमस्तस्यै नमस्तस्यै नमस्तस्यै नमो नमः॥,Ya Devi Sarvabhuteshu Shaktirupena Samsthita. Namastasyai Namastasyai Namastasyai Namo Namah.,या देवी सर्वभूतेषु,Ya Devi Sarvabhuteshu
367,जयन्ती मङ्गला काली भद्रकाली कपालिनी। दुर्गा क्षमा शिवा धात्री स्वाहा स्वधा नमोऽस्तु ते॥,Jayanti Mangala Kali Bhadrakali Kapalini. Durga Kshama Shiva Dhatri Swaha Swadha Namostu Te.,जयन्ती मङ्गला काली,Jayanti Mangala Kali
368,देहि सौभाग्यमारोग्यं देहि मे परमं सुखम्। रूपं देहि जयं देहि यशो देहि द्विषो जहि॥,Dehi Saubhagyamarogyam Dehi Me Paramam Sukham. Rupam Dehi Jayam Dehi Yasho Dehi Dvisho Jahi.,देहि सौभाग्यमारोग्यं,Dehi Saubhagyamarogyam
369,शरणागतदीनार्तपरित्राणपरायणे। सर्वस्यार्तिहरे देवि नारायणि नमोऽस्तु ते॥,Sharanagatadeenartaparitranaparayane. Sarvasyartihare Devi Narayani Namostu Te.,शरणागत दीनार्त,Sharanagata Deenarta
493,तेज और शक्ति के लिए,"Atulitbaladhamam Hemashailabhadeham, Anujavanakrushanum Jnaninamagraganyam. Sakalagunanishanam Vanaranamadhisham, Raghupatipriyabhaktam Vatajatam Namami.",अतुलितबलधामं,Atulitbaladhamam
526,वक्रतुण्ड महाकाय सूर्यकोटि समप्रभ। निर्विघ्नं कुरु मे देव सर्वकार्येषु सर्वदा॥,Vakratunda Mahakaya Suryakoti Samaprabha. Nirvighnam Kuru Me Dev Sarvakaryeshu Sarvada.,वक्रतुण्ड महाकाय,Vakratunda Mahakaya
527,गजाननं भूतगणादिसेवितं कपित्थजम्बूफलचारुभक्षणम्। उमासुतं शोकविनाशकारकं नमामि विघ्नेश्वरपादपंकजम्॥,Gajananm Bhutaganadisevitam Kapitthajambuphalacharubhakshanam. Umasutam Shokavinashakarakam Namami Vighneshwarapadapankajam.,गजाननं भूतगणादि,Gajananm Bhuta Ganadi
528,अगजानन पद्मार्कं गजाननमहर्निशम्। अनेकदन्तं भक्तानां एकदन्तमुपास्महे॥,Agajanan Padmarkam Gajananamaharnisham. Anekadantam Bhaktanam Ekadantamupasmahe.,अगजानन पद्मार्कं,Agajanan Padmarkam
529,विघ्नेश्वराय वरदाय सुरप्रियाय लम्बोदराय सकलाय जगद्धिताय। नागाननाय श्रुतियज्ञविभूषिताय गौरीसुताय गणनाथ नमो नमस्ते॥,Vighneshwaraya Varadaya Surapriyaya Lambodaraya Sakalaya Jagaddhitaya. Nagananaya Shrutiyajnavibhushitaya Gourisutaya Gananatha Namo Namaste.,विघ्नेश्वराय वरदाय,Vighneshwaraya Varadaya
530,अभीप्सितार्थ सिद्धयर्थं पूजितो यः सुरासुरैः। सर्वविघ्नहरस्तस्मै गणाधिपतये नमः॥,Abhipsitarth Siddhyartham Pujito Yah Surasuraih. Sarvavighnaharastasmai Ganadhipataye Namah.,अभीप्सितार्थ सिद्धयर्थं,Abhipsitartha Siddhyartham
657,"आपदामपहर्तारं दातारं सर्वसंपदाम्।
लोकाभिरामं श्रीरामं भूयो भूयो नमाम्यहम्॥","Apadamapahartaram Dataram Sarvasampadam.
Lokabhiramam Shriramam Bhuyo Bhuyo Namamyaham.",आपदामपहर्तारं,Apadamapahartaram
