line_number,category_or_section,title,youtube_url
1429,7,भोले ओ भोले,https://youtu.be/zkUxRCOUWVo?si=iB21dUCzH49ADVXn
1430,8,ऐसी सुबह ना आए,https://youtu.be/rNSfDMxWHG8?si=6whX6JaH6V_vfSA4
1431,9,बम लहरी,https://youtu.be/iR8cieM-CFs?si=p13R2NEb8EoWiSTR
1432,10,शिव जी सत्य है,https://youtu.be/kR4LMcp_AFI?si=fzx4iasop3dNiy4s
1437,1,शिव पार्वती विवाह की संपूर्ण कथा,https://youtu.be/HHtMKIeMBAk?si=eUWok9Kg2Onxu6Il
1448,3,सिद्धि विनायक मंत्र,https://youtu.be/WawKv8E20KA?si=x3wVEkjdEi04Isk0
1451,6,ऋद्धि-सिद्धि मंत्र,https://youtu.be/Qvu09XysxWw?si=2rCzQ7OWozkWCYhx
1462,6,ऋणमोचन गणेश स्तोत्र,https://youtu.be/ZSdGIRPRca0?si=JCfj8Mp_WSFKabzU
1463,7,गणपति गकार स्तोत्र,https://youtu.be/Ab04UFqu-Qs?si=Y71l_1lC5QwtYyiq
1465,9,लम्बोदर स्तोत्र,https://youtu.be/DZkdEN1cf8o?si=AtgM9TK_H5Acd7yX
1466,10,गणेश द्वादशनाम स्तोत्र,https://youtu.be/mGhfk_LKRjg?si=5ukbYBvhM7eSwtoS
1470,1,देवा श्री गणेशा,https://youtu.be/RCCYorPLJmQ?si=BSLfeZMLzDux3CZE
1475,6,ओ माय फ्रेंड गणेशा,https://youtu.be/gZ8YH3LuJRc?si=bCDFaHUgdYfKtW3f
1480,11,देवा हो देवा गणपति देवा,https://youtu.be/ftb-pobLDDM?si=LSvIGqH8yQzsJeRe
1490,3,राम गायत्री मंत्र,https://youtu.be/-FvHYW5-fYM?si=opkQTKdooyDA3-Yb
1491,4,विपत्ति नाशक मंत्र,https://youtu.be/snRINfVgunw?si=OBhIF1xWjPyu43K6
1494,7,हनुमत-राम मंत्र,https://youtu.be/qGki_RZf2a8?si=T7hPvehLav4MGrsI
1510,2,मंगल भवन अमंगल हारी,https://youtu.be/0rWQi2OWezo?si=B6lBpLuUPknXnb2D
1511,3,भए प्रगट कृपाला दीनदयाला,https://youtu.be/6Jteav3K_NE?si=dZWllCjfv1QFeiWq
1512,4,सजा दो घर को गुलशन सा,https://youtu.be/1_u-Koe8aog?si=JSm4ddAy1-X8oO5a
1514,6,हम कथा सुनाते राम सकल,https://youtu.be/tH93lLehjCs?si=AAx3xXPsrKqDHpjq
1515,7,सुख के सब साथी दुःख में ना कोई,https://youtu.be/xpH5zFWvg1s?si=1eo0ik3s4y8o5a6b
1516,8,ओ माँ मेरी झोपड़ी के भाग,https://youtu.be/hn6Im7ZMoG0?si=RBopgQJXl954NTbC
1526,2,सकंट मोचन मंत्र,https://youtu.be/vlc0vWvSrOM?si=fvKhdLJK61GyaAFD
1528,4,सुरक्षा मंत्र,https://youtu.be/LP86cJl-NGg?si=A2Y5o-h90odc3XN9
1530,6,राम-दूत मंत्र,https://youtu.be/FEQubnAZXNg?si=wgGHeAtzk-LuOioV
1539,4,सुंदरकांड,https://youtu.be/qcaAso2kHqU?si=wYOye8u3iEC2gtQo
1540,5,हनुमान बाहुक,https://youtu.be/gujH1r4nS6M?si=VGRsX029QeuN9HXL
1541,6,श्री हनुमत् स्तवन,https://youtu.be/90Jg2ZI_RLo?si=YIdpJ3jOCE_8ukk4
1542,7,मारुति स्तोत्र,https://youtu.be/XIOhPTccsJQ?si=TaveHhRToZourDau
1543,8,एकमुखी हनुमत् कवच,https://youtu.be/BugLdlv5EpQ?si=8ecd3j02yZo22upS
1544,9,पंचमुखी हनुमान कवच,https://youtu.be/BzPbfftJ8Ho?si=D5a89g51GA88L_N_
1545,10,हनुमान साठिका,https://youtu.be/iuBOevhL-bU?si=pFvhpdkxJl612MBp
1551,3,बालाजी अच्छा लागे से,https://youtu.be/nViaKp1JhsE?si=nSahD2_AP3FA4jr5
1552,4,हनुमान जब चले,https://youtu.be/uPv-8-Dslos?si=MPWZdugdmWCu9HWS
1553,5,राम जी का नाम लेकर,https://youtu.be/rPUuIMR7IJg?si=plhMh38FMb-YkGTj
1559,2,हनुमान जयंती कथा,https://youtu.be/bUzIW_KDJ5Y?si=Ar0hLSyd5OzOyU-Q
