SHIV JI 						
						
MANTRA 						
	-	आखिर क्यों शिवपार्वती ने लिया था अर्धनारीश्वर रूप ? 	https://youtu.be/4lokTkaO9xs?si=C19AkxnlrW3NFtQ2			
	-	क्यों मिला था चंद्रमा को श्राप ? 	https://youtu.be/iEIJBAKx0wI?si=bBiJfhIDY2Psljnj			
	-	12 ज्योतिर्लिंग की कथाएँ क्या है?	https://youtu.be/My9aRwekYGk?si=jbP4Jiv89W7Ij-D7			
	-	शिव ने अपने ही पुत्र गणेश का सिर क्यों काटा?	https://youtu.be/oa1tHpermgU?si=VvSwaXWDjjjQ4FfT			
	-					
						
HANUMAN JI						
						
MANTRA						
	हनुमान बीज मंत्र	ॐ ऐं भ्रीम हनुमते श्री राम दूताय नमः	https://youtu.be/o5Uk1sxGBZU?si=aIuPQqmzIrromxMt	सुबह ब्रह्म मुहूर्त (4:00 AM - 6:00 AM) है। मंगलवार और शनिवार को यह अधिक प्रभावशाली माना जाता है। आप इसे पूजा के दौरान सुबह स्नान के बाद या रात में सोने से पहले भी शांत मन से सुन/कर सकते हैं।		
	हनुमान गायत्री मंत्र:	ॐ आञ्जनेयाय विद्महे वायुपुत्राय धीमहि।	https://youtu.be/AXDLxXIbxAs?si=LRLn7ZBIQYzSWhry	मंगलवार और शनिवार की सुबह सूर्योदय के समय		
		तन्नो हनुमत् प्रचोदयात्॥				
	मनोजवं मारुततुल्यवेगं मंत्र:	मनोजवं मारुततुल्यवेगं,	https://youtu.be/iWd6VAWduZg?si=qrMcv4ayCSmC3X_q	मंगलवार या शनिवार के दिन सुबह (ब्रह्म मुहूर्त)		
		जितेन्द्रियं बुद्धिमतां वरिष्ठम्।				
		वातात्मजं वानरयूथमुख्यं,				
		श्रीरामदूतं शरणं प्रपद्ये॥				
	रुद्रावतार हनुमान मंत्र (मूल मंत्र:)	ॐ नमो हनुमते रुद्रावताराय सर्वशत्रुसंहारणाय सर्वरोग हराय सर्ववशीकरणाय रामदूताय स्वाहा॥	https://youtu.be/BYDOl5Sm-HE?si=80FQdV8AYyPkhQOY	भय और तनाव में , शत्रु नाश और सुरक्षा के लिए , रोग मुक्ति के लिए 		
	आंजनेय मंत्र	ॐ नमो भगवते आंजनेयाय महाबलाय स्वाहा	https://youtu.be/OhF0O9nb5t8?si=FNJNYprwyEwqcGsC	 शक्ति, सुरक्षा और साहस प्राप्त करने के लिए सुना या जप किया जाता है। 		
	प्रमुख मंत्र:	नासै रोग हरै सब पीरा, जपत निरंतर हनुमत बीरा	https://youtu.be/FUpzgvsWkL8?si=XDpQmK9jpt227gC0	कष्ट, भय, शारीरिक रोग और नकारात्मक ऊर्जा से मुक्ति पाने के लिए निरंतर (नियमित) सुना या जपा जाता है।		
	रक्षा कवच मंत्र:	ॐ हं हनुमते रक्ष-रक्ष स्वाहा	https://youtu.be/_97POkIQ_kQ?si=2Nyp0GAVtCXv1eOf	सुरक्षा, शक्ति और भय से मुक्ति के लिए नित्य (रोजाना) सुना या जपा जा सकता है		
						
STOTRAM						
	श्री हनुमान वडवानल स्तोत्र	ॐ अस्य श्री हनुमान् वडवानल-स्तोत्र-मन्त्रस्य श्रीरामचन्द्र ऋषिः,				
		श्रीहनुमान् वडवानल देवता, ह्रां बीजम्, ह्रीं शक्तिं, सौं कीलकं,				
	मारुती स्तोत्र	भीमरूपी महारुद्रा, वज्रहनुमान मारुती |	https://youtu.be/V1-7O0EPaJk?si=0-xX1NUeG-kZ76qS			
		वनारी अंजनीसूता रामदूता प्रभंजना ||१||				
	श्री हनुमान तांडव स्तोत्र	रक्ताङ्गरागशोभाढ्यं शोणापुच्छं कपीश्वरम्।	https://youtu.be/AjCLVm6gKQc?si=acKj8AiCXoLASvM8	शत्रुओं पर विजय, शारीरिक-मानसिक बल बढ़ाने, और मंगल-राहु जैसे ग्रहों के दोषों को दूर करने के लिए अत्यंत प्रभावशाली माना जाता है		
		भजे समीरनन्दनं, सुभक्तचित्तरञ्जनं,				
		दिनेशरूपभक्षकं, समस्तभक्तरक्षकम्।				
		सुकण्ठकार्यसाधकं, विपक्षपक्षबाधकं,				
		समुद्रपारगामिनं, नमामि सिद्धकामिनम्।				
	श्री आञ्जनेय द्वादशनाम स्तोत्रम्	हनुमानञ्जनीसूनुर्वायुपुत्रो महाबलः ।	https://youtu.be/BjvVJOS7xPE?si=NtPLuZzAbGNbe6gO			
		रामेष्टः फल्गुणसखः पिङ्गाक्षोऽमितविक्रमः				
	पंचमुखी हनुमान स्तोत्र	अथ ध्यानं प्रवक्ष्यामि श्रृणुसर्वांगसुन्दरि ।	https://youtu.be/PzjSJIswc6s?si=VeKkvGCYklpFQt0d	नकारात्मकता और काला जादू से रक्षा: , ग्रह दोषों से मुक्ति:		
		यत्कृतं देवदेवेन ध्यानं हनुमतः प्रियम्‌ ॥1॥				
						
CHALISA						
	हनुमान चालीसा	श्रीगुरु चरन सरोज रज, निज मनु मुकुरु सुधारि।	https://youtu.be/AETFvQonfV8?si=YezmW2nYi76Eoi6Q	सुबह (ब्रह्म मुहूर्त: 4-6 बजे) या शाम को (सूर्यास्त के समय/रात 8 बजे) करना सबसे अच्छा माना जाता है, विशेषकर मंगलवार और शनिवार को। इसे मानसिक शांति, भय मुक्ति, संकट दूर करने, आत्मविश्वास बढ़ाने और नकारात्मक ऊर्जा (शनि/मंगल दोष) को कम करने के लिए सुना या पढ़ा जाता है।		
		बरनऊं रघुबर बिमल जसु, जो दायकु फल चारि।।				
						
ASHTAKAM						
	संकटमोचन हनुमान अष्टक	बाल समय रवि भक्ष लियो तब, तीनहुं लोक भयो अंधियारों।	https://youtu.be/HH_a6aRO1TE?si=oQ72oac9OI-c9FEL			
						
STUTI						
	अतुलितबलधामं हेमशैलाभदेहं, 	अतुलितबलधामं हेमशैलाभदेहं, दनुजवनकृशानुं ज्ञानिनामग्रगण्यम्	https://youtu.be/CIl1O1GwOfk?si=l5pF_ixmqVuHcdOn			
						
AARTI						
	-	आरती कीजै हनुमान लला की	https://youtu.be/r7GJ8GoGSD8?si=5vKJpH3tM6QoFwzl	आरती कीजै हनुमान लला की.mp3		
		जय जय हनुमान गोसाईं				
						
SHLOKAS						
	-	बुद्धिर्बलं यशो धैर्यं निर्भयत्वमरोगता।	https://youtu.be/4PZzUru94JY?si=unI0BALTYhAIdzmS	 मानसिक और शारीरिक शक्ति के लिए 		
		अजाड्यं वाक्पटुत्वं च हनुमत्स्मरणाद्भवेत्॥				
	हनुमान गायत्री	ॐ आञ्जनेयाय विद्महे वायुपुत्राय धीमहि।	https://youtu.be/AXDLxXIbxAs?si=61Ag66LJRXixtINz	सुरक्षा, बल और साहस के लिए		
		तन्नो हनुमत् प्रचोदयात्॥				
	-	मर्कटेश महोत्साह सर्वशोक विनाशन।	https://youtu.be/xvaY6-PgNyY?si=1wxv0hpaEyvvF4jN	धन प्राप्ति और शत्रु से रक्षा मंत्र		
		शत्रून संहार मां रक्षा श्रियं दापय मे प्रभो॥				
	कार्य सिद्धि	असाध्य साधक स्वामिन् असाध्यं तव किं वद।	https://youtu.be/faCtr2ajTuE?si=svKC2jHHd_23bpz4			
		राम दूत कृपा सिन्धो मत् कार्यं साध्य प्रभो॥				
	-	अतुलितबलधामं हेमशैलाभदेहं, अनुजवनकृशानुं ज्ञानिनामग्रगण्यम्। सकलगुणनिधानं वानराणामधीशं, रघुपतिप्रियभक्तं वातजातं नमामि।	https://youtu.be/CIl1O1GwOfk?si=0PLRHfGike1eIJPN	तेज और शक्ति के लिए		
						
BHAJAN						
	-	दुनिया चले न श्री राम के बिना	https://youtu.be/sDhrWWWBQLI?si=x0qKB6U3A5R2FSQr			
	-	हे दुख भंजन मारुति नंदन	https://youtu.be/n4fZknyZlsk?si=W6avmHz2Bl7IEuMr			
	-	छम छम नाचे वीर हनुमान	https://youtu.be/hy_UKySqiNo?si=WO1ouxTrWAya94GP			
	-	संकट मोचन नाम तिहारो	https://youtu.be/HH_a6aRO1TE?si=rTY4-xxT-cJfpz4W			
	-	बजरंग बली मेरी नाव चली	https://youtu.be/eH89BxWg9P4?si=5IOyC_otVc9JKSFd			
	-	वीर हनुमाना अति बलवाना	https://youtu.be/Dlu4KGrnmZg?si=uNHWa9x_7eYIABar			
						
KATHA 						
	-	हनुमान जन्म कथा	https://youtu.be/IfpaqbjwW6Y?si=0Q_-WTElzyLcpNwT			
	-	शक्ति, भक्ति और बुद्धि के देव हनुमान जी को समझिए |	https://youtu.be/_35QngzzdEQ?si=l9SidSRJ4C7GTyks			
	-	भगवान श्री राम और हनुमान जी का प्रथम मिलाप	https://youtu.be/IJfsaSWM7vg?si=dEF6K1qP5r5Mh6vZ			
	-	हनुमान जनम कथा	https://youtu.be/JGi64RoqZ9g?si=LzuKJAoqe1TsPcav			
	-	हनुमान जी रक्षा कैसे करते हैं ?	https://youtu.be/Yafs12RHYqw?si=DFgZFimu47Z3K-Ye			
	-	जब हनुमान जी चले लंका माता जानकी को खोजने | 	https://youtu.be/av3Vf23CRqc?si=hRrw_iHsdMJ8WfIw			
						
						
GANESH JI 						
						
MANTRA 						
	मूल बीज मंत्र	ॐ गं गणपतये नमः	https://youtu.be/Naruxgq6oMU?si=FcMrbfkDJoW6MNjX			
	-	वक्रतुण्ड महाकाय सूर्यकोटि समप्रभ।	https://youtu.be/kxxhO92X8ro?si=kI__HcFg2zNoXZn2			
		निर्विघ्नं कुरु मे देव सर्वकार्येषु सर्वदा॥				
	गणेश गायत्री	ॐ एकदन्ताय विद्महे वक्रतुण्डाय धीमहि तन्नो दन्ती प्रचोदयात्	https://youtu.be/dkVlpm1mKFI?si=crdKp9jnOOfpOZx7			
	संकट नाशक मंत्र	ॐ नमो हेरम्ब मद मोहित मम् संकटान निवारय-निवारय स्वाहा:	https://youtu.be/sHjD9ChjUsU?si=kj5RxANqbh9URRDf			
	-	ॐ विनायकाय नमः	Om Vinayakaya Namah 108 times Ganesh Mantra	सफलता की प्राप्ति:	https://youtu.be/PeYGaeORoOY?si=ONsUR5ezqmmko8O0	
	-	ॐ लम्बोदराय नमः	https://youtu.be/a5qd1rCqkvI?si=s5oYDC9M7BF8gZIn			
						
STOTRAM						
						
	श्री संकटनाशन गणेश स्तोत्र:	प्रणम्य शिरसा देवं गौरीपुत्रं विनायकम्। भक्तावासं स्मरेन्नित्यं आयुःकामार्थसिद्धये	Shri Ganesh Sankat Nashan Stotaram - संकटनाशन श्रीगणेश स्तोत्रम्  - Prem Prakash Dubey - Spiritual		https://youtu.be/aTFeZxXkL78?si=m5lUjY4i8013BWXj	
						
	गणेश अथर्वशीर्ष:	ॐ नमस्ते गणपतये।	https://youtu.be/Tssx17scqO4?si=uOt96Cx7Sz5DPI5b			
		त्वमेव प्रत्यक्षं तत्त्वमसि				
		त्वमेव केवलं कर्ताऽसि				
		त्वमेव केवलं धर्ताऽसि				
	ऋणहर्ता गणेश स्तोत्र:	सिन्दूरवर्णं द्विभुजं गणेशं, लम्बोदरं पद्मदले निविष्टम्।	https://youtu.be/aH2ipOQ1_bU?si=O2s_vctg1Roye0xu	कर्ज और आर्थिक तंगी से मुक्ति पाने के लिए।		
		ब्रह्मादिदेवैः परिसेव्यमानं, सिद्धैर्युतं तं प्रणामि देवम्॥				
	श्री गणेश कवच:	एषोऽतिचपलो दैत्यान्बाल्येऽपि नाशयत्यहो ।	https://youtu.be/av9FFShVYBU?si=Ad06fEsAnohtH32q			
		अग्रे किं कर्म कर्तेति न जाने मुनिसत्तम ।				
	गणेश अष्टोत्तर शतनाम स्तोत्र:	ॐ गजाननाय नमः। ॐ गणाध्यक्षाय नमः। ॐ विघ्नराजाय नमः। ॐ विनायकाय नमः।	https://youtu.be/XhxvcnExPNQ?si=w62P2ANg6x0OryeL			
	मयूरेस्वर स्तोत्र:	पुराणपुरुषं देवं नानाक्रीडाकरं मुदा । मायाविनं दुर्विभाव्यं मयूरेशं नमाम्यहम् ।	https://youtu.be/udRgk50LOuA?si=OnWHt9_jUWmMlIHv			
						
CHALISA						
	श्री गणेश चालीसा	जय गणपति सद्गुण सदन, कविवर बदन कृपाल। हर्ष चराचर दास जो, सो मोहि करहु निहाल॥	https://youtu.be/WyHFSjN0miU?si=pCUb4V5RltoNG-DB			
						
ASHTAKAM						
	श्री गणेशपञ्चरत्नम् 	मुदा करात्त मोदकं सदा विमुक्ति साधकम् । कलाधरावतंसकं विलासिलोक रक्षकम् । अनायकैक नायकं विनाशितेभ दैत्यकम् । नताशुभाशु नाशकं नमामि तं विनायकम् ॥	https://youtu.be/vYFOV9nj-_w?si=r49ExtqDfppGq1cg			
						
STUTI						
						
	तुलसीदास कृत श्री गणेश स्तुति	गाइये गनपति जगबंदन। संकर-सुवन भवानी-नंदन।	https://youtu.be/PHYOoKN1eRA?si=ss-wUy5JBBGT5IWO			
	सिद्धिविनायक स्तुति	जय सिद्धिविनायक जय सुखदायक, रिद्धि-सिद्धि के तुम हो नायक।	https://youtu.be/-ZrQZp2y3PQ?si=hCx7LtL3gBXFjUBg			
	नमामि ते गजाननं	नमामि ते गजाननं अनन्त मोद दायकम् समस्त विघ्न हारकं समस्त अघ विनाशकम्	https://youtu.be/2GQ7t3b3PIM?si=LoDVda5DZZXnfd-B			
						
AARTI						
	-	जय गणेश जय गणेश देवा	https://youtu.be/Yuex2EnsGiY?si=SN2TjtMVVhHmp7gl			
	-	सुखकर्ता दुखहर्ता वार्ता विघ्नाची	https://youtu.be/gFr5p5AyuD0?si=QD5VW5nRGb8TXEFJ			
	-	शेंदूर लाल चढ़ायो अच्छा गजमुख को	https://youtu.be/bo62sjQ0CmE?si=t1lAn32pD2F23gVQ			
	-	जय देव जय देव जय मंगलमूर्ती	https://youtu.be/_NgJw_JU0N0?si=xxET0DfzB9lul_dc			
	-	आरती सिद्धिविनायक जी की	https://youtu.be/_oOQ5UYKAKo?si=LHHmXG1Si_5d1Gky			
						
SHLOKAS						
	-	वक्रतुण्ड महाकाय सूर्यकोटि समप्रभ। निर्विघ्नं कुरु मे देव सर्वकार्येषु सर्वदा॥	https://youtu.be/x0n-mk-_OHg?si=qBZDhZeI421iS3TG			
	-	गजाननं भूतगणादिसेवितं कपित्थजम्बूफलचारुभक्षणम्। उमासुतं शोकविनाशकारकं नमामि विघ्नेश्वरपादपंकजम्॥	https://youtu.be/6fl5JFL-SoA?si=uMzDR8I4B2c9dy8-			
	-	अगजानन पद्मार्कं गजाननमहर्निशम्। अनेकदन्तं भक्तानां एकदन्तमुपास्महे॥	https://youtu.be/bQrYmTfw59Q?si=h7eoNNv6DhDZhGuT			
	-	विघ्नेश्वराय वरदाय सुरप्रियाय लम्बोदराय सकलाय जगद्धिताय। नागाननाय श्रुतियज्ञविभूषिताय गौरीसुताय गणनाथ नमो नमस्ते॥	https://youtu.be/r-8-0OwqDjE?si=UMvZ1OKIqCgV3z5I			
	-	अभीप्सितार्थ सिद्धयर्थं पूजितो यः सुरासुरैः। सर्वविघ्नहरस्तस्मै गणाधिपतये नमः॥	https://youtu.be/rzAm4kvEDbc?si=esY2jKOVx-Z2hH93			
						
BHAJAN						
	-	 घर में पधारो गजानंद जी मेरे घर में पधारो	https://youtu.be/nLUmRxc6140?si=tDzujtf2OLcvCbDf			
	-	संकट हर लो मंगल कर दो	https://youtu.be/ZswQ9qUMDTs?si=JCy5lg1H5mtQ_5JL			
	-	तेरी जय हो गणेश	https://youtu.be/enalr0CvqVM?si=WMYDWThqcqx9a4pP			
	-	हे गौरी नंदन तुमको वन्दन 	https://youtu.be/BMHSi1dzXzs?si=rn151FPk0nrcDwwa			
	-	गजानन कर दो बेड़ा पार	https://youtu.be/KP_dAI4k1Dg?si=ssSVFPUldb97cxGY			
	-	गणपति पहला तुम्हे प्रणाम है 	https://youtu.be/c6NhHI-nOW0?si=KvNW6DMPNdcX9kLy			
	-	गजानन महाराज पधारो 	https://youtu.be/fOWk1A27pKQ?si=1hsP5OkDsZwIELgh			
						
KATHA 						
		श्री गणेश जन्म कथा 	https://youtu.be/yqzr0_-2XbQ?si=KaaBH4Ke-TxOb1ih			
		सबसे पहले गणेश भगवान् की पूजा क्यों करते है 	https://youtu.be/VYCZdEaHLCE?si=VW3FFZDKm2dzI8oX			
		महाभारत कैसे लिखी गई ?	https://youtu.be/6PfjQNc3J8M?si=G20iarXyjqTOP0wI			
						
						
VISHNU JI 						
						
MANTRA 						
	द्वादशाक्षर मंत्र	ॐ नमो भगवते वासुदेवाय	https://youtu.be/Vb06G2bDFkE?si=mxsOg_3XgD0DSJQi			
	-	ॐ नमो नारायणाय	https://youtu.be/BLn-f2DZN4Y?si=tdz0GGjNGQIWYzX4			
	-	श्रीमन नारायण नारायण हरी हरी	https://youtu.be/MuVrsDfgwI0?si=TpM7uKaIrn00Acbk			
	-	ॐ विष्णवे नमः	https://youtu.be/U7WIOZyTEaQ?si=sdZ_Z-n3qy3JFTNU			
	-	ॐ ह्रीं कार्तवीर्यार्जुनो नाम राजा बाहु सहस्रवान। यस्य स्मरेण मात्रेण हृतं नष्टं च लभ्यते॥	https://www.youtube.com/live/IhBouQi3D9Q?si=jENRpKbSc3oDZxDg			
	-	ॐ लक्ष्मीपतये नमः	https://youtu.be/erQ7OvBnfMY?si=6Tr4oodbqcuN7H97			
	विष्णु गायत्री	ॐ नारायणाय विद्महे वासुदेवाय धीमहि। तन्नो विष्णुः प्रचोदयात्॥	https://youtu.be/Uv2p2kTnlH8?si=FYYRnfJoBZIy0LmR			
	-	शान्ताकारं भुजगशयनं पद्मनाभं सुरेशं	https://youtu.be/Im5TK-glA9M?si=HrtM-508EyU_APJO			
		विश्वाधारं गगनसदृशं मेघवर्णं शुभाङ्गम्।				
	-	ॐ अचुताय नमः	https://youtu.be/6Ncyh3vwtQI?si=JS1uUNm_AsCNqZUZ			
						
STOTRAM						
	विष्णु सहस्रनाम स्तोत्रम्:	यस्य स्मरणमात्रेण जन्मसंसारबन्धनात् ।	https://youtu.be/zKC17254flc?si=1RLal5iLIRaiuuMb			
		विमुच्यते नमस्तस्मै विष्णवे प्रभविष्णवे ।				
	गजेन्द्र मोक्ष स्तोत्र:	मन से है ऊँ नमन प्रभु को जिनसे यह जड चेतन बनता ।	https://youtu.be/3dmYdRgJsJ4?si=G1IqQRXpQdgix2Pr			
	लक्ष्मी नारायण स्तोत्र	श्रीनिवास जगन्नाथ श्रीहरे भक्तवत्सल ।	https://youtu.be/EkAUXHqqaLk?si=c4jgf8zmawRwmVRl			
		लक्ष्मीपते नमस्तुभ्यं त्राहि मां भवसागरात्				
	विष्णु पंजर स्तोत्रम्	प्रवक्ष्याम्यधुना ह्येतद्वैष्णवं पञ्जरं शुभम् । नमोनमस्ते गोविन्द चक्रं गृह्य सुदर्शनम् ॥	https://youtu.be/kt9-B0uUmRY?si=Or6uohC4Z_ZY7DZ5			
